dest_size,n_vols,pct_vols
1,6209,0.1616220828502545
2,7124,0.1854398000040607
3,6348,0.16524029343427535
4,5410,0.14082387956512754
5,3893,0.1013359266445548
6,2145,0.055834976278594926
7,3810549,99.18970304122313
