run_id,ts,location,spark_master,driver_memory,executor_memory,num_cores,delay_threshold_min,lags,window_hours,sample_month,dataset_id,data_start,data_end,n_joined,n_train,n_test,n_train_pos,n_train_neg,n_test_pos,n_test_neg,rf_max_rows_per_class_limit,rf_effective_rows_per_class,train_wall_time_sec,train_driver_cpu_time_sec,rf_num_trees,rf_max_depth,rf_subsampling_rate,rf_feature_subset_strategy,train_accuracy,train_f1,train_precision_pos,train_recall_pos,test_accuracy,test_f1,test_precision_pos,test_recall_pos,test_specificity,test_tn,test_fp,test_fn,test_tp,git_commit,git_dirty,comment
33745695-245e-42ea-a7de-1f9f26f08f66,2025-12-01T12:05:34.098+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D2,2012-01-01,2013-12-01,3841678,54918,18468,27433,27485,9260,9208,400000,36693,304.693442743,22.169007203,80,12,0.7,sqrt,0.696365490367457,0.6959570715946319,0.6825122149837134,0.7332409871322859,0.6986138184968594,0.6982565211251734,0.6871327254305978,0.7323974082073434,0.6646394439617723,6120,3088,2478,6782,,false,"dataset=D2, featureSet=no-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
2412200e-e258-4f41-8042-33feaf64c65e,2025-12-01T12:47:34.739+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D2,2012-01-01,2013-12-01,3841678,54918,18468,27433,27485,9260,9208,400000,36693,1873.859113245,336.750412652,200,18,0.8,sqrt,0.8386503514330457,0.8386286770323677,0.8305096810933941,0.8505814165421208,0.8233701537795105,0.8233606407141877,0.8199957319675629,0.8299136069114471,0.8167897480451781,7521,1687,1575,7685,,false,"dataset=D2, featureSet=article-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
e3366acf-2cc3-4d24-a657-e4f39bea9ea5,2025-12-01T13:33:02.790+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D2,2012-01-01,2013-12-01,3841678,54918,18468,27433,27485,9260,9208,400000,36693,2468.372370372,255.675779857,150,16,0.7,sqrt,0.831658108452602,0.8316157914635387,0.821002470878927,0.8478474829584807,0.8192007797270955,0.8191524548967564,0.8104225647478243,0.8346652267818575,0.8036490008688097,7400,1808,1531,7729,,false,"dataset=D2, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
6a21d503-95a2-4ee8-a368-c3cd1923d596,2025-12-01T13:43:11.445+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D4,2012-01-01,2013-12-01,3841678,334363,111555,167310,167053,55649,55906,400000,222959,401.510391488,25.314349655,80,12,0.7,sqrt,0.6326776587122379,0.631900933306428,0.6218657726209454,0.6784770784770785,0.6276096992514903,0.6269185237106184,0.6164308941747413,0.6710632715772071,0.5843558830894716,32669,23237,18305,37344,,false,"dataset=D4, featureSet=no-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
54d4709f-0ee1-4569-ad53-0fe1205ea352,2025-12-01T15:56:09.260+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D4,2012-01-01,2013-12-01,3841678,334363,111555,167310,167053,55649,55906,400000,222959,6110.860010628,470.831847438,200,18,0.8,sqrt,0.7388766101512428,0.7385636466213565,0.7570495848649205,0.7041181041181042,0.7022365649231321,0.7012921484867718,0.7265675500969618,0.6463368613991267,0.757879297392051,42370,13536,19681,35968,,false,"dataset=D4, featureSet=article-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
c43bc2b2-59e8-4985-8a6c-95c431c90d1e,2025-12-01T17:00:12.357+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D4,2012-01-01,2013-12-01,3841678,334363,111555,167310,167053,55649,55906,400000,222959,2914.975416698,412.713471655,150,16,0.7,sqrt,0.7144719960043426,0.7142711680632311,0.7268879961595796,0.6878130416591955,0.6910313298373,0.6906664186244313,0.703892653626983,0.6570288774281658,0.7248774729009408,40525,15381,19086,36563,,false,"dataset=D4, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
