origin_size,n_vols,pct_vols
1,381,0.009917541241093085
2,2346,0.061067064964840885
3,4359,0.11346604270321457
4,6174,0.16071102263125644
5,7051,0.1835395886901505
6,10721,0.27907076022508914
7,3810646,99.19222797954436
