run_id,ts,location,spark_master,driver_memory,executor_memory,num_cores,delay_threshold_min,lags,window_hours,sample_month,dataset_id,data_start,data_end,n_joined,n_train,n_test,n_train_pos,n_train_neg,n_test_pos,n_test_neg,rf_max_rows_per_class_limit,rf_effective_rows_per_class,train_wall_time_sec,train_driver_cpu_time_sec,rf_num_trees,rf_max_depth,rf_subsampling_rate,rf_feature_subset_strategy,train_accuracy,train_f1,train_precision_pos,train_recall_pos,test_accuracy,test_f1,test_precision_pos,test_recall_pos,test_specificity,test_tn,test_fp,test_fn,test_tp,git_commit,git_dirty,comment
d1525b01-2c88-44b9-822c-7e22c7352108,2025-12-01T08:55:03.056+01:00,local,local[8],24g,24g,16,60,7,12,ALL,D2,2012-01-01,2013-12-01,3841678,54995,18391,27510,27485,9183,9208,1000000,36693,35.204199161,7.6886637,80,12,0.7,sqrt,0.6971906536957905,0.6969507121605092,0.6868996384919952,0.7252271901126863,0.6878908161600783,0.687734631247887,0.6791922556469241,0.7105521071545247,0.6652910512597741,6126,3082,2658,6525,,false,"cluster D2 no-weather lags=7 ALL months | dataset=D2, featureSet=no-weather, lags=7, windowHours=12, maxRowsPerClass=1000000"
1050240f-23c0-4b60-9a3f-513b19690111,2025-12-01T09:04:56.221+01:00,local,local[8],24g,24g,16,60,7,12,ALL,D2,2012-01-01,2013-12-01,3841678,54995,18391,27510,27485,9183,9208,1000000,36693,390.70127926,94.850285,200,18,0.8,sqrt,0.8400400036366943,0.8400168651579472,0.8322738733619802,0.8519083969465648,0.8153444619650916,0.8153191902073369,0.8074593560726809,0.8275073505390396,0.8032145960034752,7396,1812,1584,7599,,false,"local new D2 article-weather lags=7 ALL months | dataset=D2, featureSet=article-weather, lags=7, windowHours=12, maxRowsPerClass=1000000"
dedeee19-a20d-4928-b00b-9848851cc0d2,2025-12-01T09:35:12.823+01:00,local,local[8],24g,24g,16,60,7,12,ALL,D2,2012-01-01,2013-12-01,3841678,54995,18391,27510,27485,9183,9208,1000000,36693,256.924053854,75.9617112,150,16,0.7,sqrt,0.8331302845713247,0.8330852418324071,0.8227527199746488,0.8494002181025082,0.8179000598118645,0.8178739638129289,0.8097918436703483,0.8303386692801916,0.8054952215464813,7417,1791,1558,7625,,false,"local new D2 with-weather lags=7 ALL months | dataset=D2, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=1000000"
